,Aspect,avg_diff,max_diff,min_diff,perc_diff_positive,perc_diff_negative,added_count,updated_count,different_value
0,TITLE_TXT,0.55,0.99,-0.04,0.42,0.0,0,474,0
5,main_camera_resolution,0.2,0.2,-0.0,0.93,0.0,108,0,0
1,brand,,0.0,-0.0,0.0,0.0,0,472,0
2,color,,0.0,-0.01,0.0,0.0,5,466,186
3,connectivity,,0.01,-0.0,0.0,0.0,91,376,375
4,display_resolution,,0.01,-0.0,0.0,0.0,375,0,0
6,manufacturer_color,,0.0,-0.01,0.0,0.0,454,0,0
7,model_number,,0.0,0.0,0.0,0.0,2,3,3
8,mpn,,0.0,0.0,0.0,0.0,1,1,1
9,network,,0.01,-0.01,0.0,0.0,17,454,147
10,network_generation,,0.0,-0.0,0.0,0.0,381,0,0
11,operating_system,,0.0,-0.0,0.0,0.0,4,459,16
12,pixel_density,,0.0,-0.0,0.0,0.0,375,0,0
13,processor,,0.0,-0.0,0.0,0.0,120,339,35
14,ram,,0.0,-0.0,0.0,0.0,118,310,44
15,release_date,,0.02,-0.0,0.0,0.0,362,0,0
16,screen_size,,0.0,-0.0,0.0,0.0,94,358,55
17,selfie_camera_resolution,,0.0,-0.0,0.0,0.0,70,0,0
18,sim_card_slot,,0.0,-0.0,0.0,0.0,3,1,0
19,storage_capacity,,0.0,-0.0,0.0,0.0,1,470,51
20,stylus,,0.0,-0.0,0.0,0.0,28,0,0
21,water_resistance,,0.0,-0.0,0.0,0.0,312,0,0
22,wireless_charging,,0.0,-0.0,0.0,0.0,300,0,0
