,Aspect,avg_diff,max_diff,min_diff,perc_diff_positive,perc_diff_negative,added_count,updated_count,different_value
18,storage_capacity,0.4,0.95,-0.11,3.38,0.21,2,472,53
8,network,0.34,0.89,-0.09,10.13,1.05,19,455,148
1,color,0.25,0.9,-0.16,12.45,0.21,6,468,188
5,manufacturer_color,0.17,0.75,-0.27,21.94,3.38,474,0,0
15,screen_size,0.12,0.37,-0.11,2.74,1.05,98,376,73
10,operating_system,0.11,0.15,-0.06,0.63,0.21,4,470,27
7,mpn,0.11,0.19,-0.16,2.11,1.48,305,169,169
2,connectivity,0.11,0.36,-0.33,8.44,5.7,95,379,378
3,display_resolution,0.1,0.32,-0.19,10.34,4.22,474,0,0
17,sim_card_slot,0.1,0.22,-0.24,2.95,1.9,239,235,234
16,selfie_camera_resolution,0.1,0.26,-0.18,1.27,0.84,474,0,0
9,network_generation,0.1,0.31,-0.14,2.95,4.43,474,0,0
6,model_number,0.1,0.23,-0.4,4.01,3.8,234,240,240
14,release_date,0.1,0.31,-0.21,10.97,3.16,474,0,0
4,main_camera_resolution,0.09,0.26,-0.18,2.53,1.27,474,0,0
12,processor,0.09,0.27,-0.16,1.9,1.27,127,347,43
13,ram,0.09,0.26,-0.15,3.38,1.69,131,343,77
11,pixel_density,0.08,0.27,-0.16,5.7,2.74,474,0,0
20,water_resistance,0.08,0.24,-0.14,3.16,1.9,474,0,0
21,wireless_charging,0.08,0.22,-0.14,2.95,1.69,474,0,0
19,stylus,0.05,0.05,-0.04,0.21,0.0,474,0,0
0,brand,,0.0,-0.0,0.0,0.0,0,474,2
