,Aspect,avg_diff,max_diff,min_diff,perc_diff_positive,perc_diff_negative,added_count,updated_count,different_value
0,card_number,0.64,0.97,-0.01,64.23,0.0,144,130,86
4,player/athlete,0.45,0.88,-0.06,7.66,0.36,14,260,66
6,season,0.35,0.88,-0.11,6.2,0.73,12,262,54
7,set,0.34,0.96,-0.5,19.34,1.09,50,224,133
1,insert_set,0.3,0.75,-0.15,19.34,1.82,262,12,11
9,subset,0.24,0.45,-0.14,2.19,0.73,274,0,0
3,manufacturer,0.16,0.21,-0.03,0.73,0.0,22,252,48
10,team,0.16,0.47,-0.07,1.82,1.09,83,191,65
2,league,0.15,0.25,-0.14,1.46,1.82,92,182,85
5,print_run,0.14,0.16,-0.02,1.09,0.0,250,24,23
8,sport,,0.02,-0.11,0.0,0.36,0,274,20
