,Aspect,avg_diff,max_diff,min_diff,perc_diff_positive,perc_diff_negative,added_count,updated_count,different_value
5,player/athlete,0.73,0.73,-0.0,0.44,0.0,13,216,47
0,TITLE_TXT,0.67,0.97,-0.79,4.8,0.87,229,0,0
1,card_number,0.58,0.9,-0.74,2.62,0.44,128,101,69
2,insert_set,0.41,0.66,-0.0,1.67,0.0,117,3,2
8,set,0.28,0.53,-0.03,1.31,0.0,41,188,112
4,manufacturer,0.19,0.19,-0.0,0.44,0.0,18,211,41
11,team,0.17,0.17,-0.0,0.47,0.0,74,140,35
10,subset,0.13,0.13,-0.0,3.57,0.0,28,0,0
3,league,0.07,0.1,-0.0,0.94,0.0,77,136,62
7,season,0.06,0.06,-0.05,0.44,0.0,10,219,45
6,print_run,,0.0,-0.0,0.0,0.0,8,1,0
9,sport,,0.0,-0.0,0.0,0.0,0,229,15
