,Aspect,avg_diff,max_diff,min_diff,perc_diff_positive,perc_diff_negative,added_count,updated_count,different_value
1,card_number,0.41,0.99,-0.44,25.47,3.44,185,396,123
4,insert_set,0.38,1.0,-0.49,13.6,3.79,537,44,34
10,season,0.37,0.84,-0.17,4.65,1.72,12,569,95
7,parallel/variety,0.36,0.97,-0.95,22.2,4.13,144,437,350
13,subset,0.27,0.74,-0.19,4.13,1.2,581,0,0
11,set,0.26,0.91,-0.53,12.22,4.99,58,523,274
8,player/athlete,0.25,0.97,-0.3,4.65,1.72,21,560,98
14,team,0.18,0.83,-0.32,4.65,3.79,138,443,113
9,print_run,0.17,0.63,-0.64,4.48,3.61,523,58,25
12,sport,0.17,0.36,-0.24,0.52,0.52,0,581,39
3,features,0.14,0.57,-0.41,12.39,9.81,166,415,355
5,league,0.14,0.49,-0.65,5.85,5.51,162,419,193
6,manufacturer,0.12,0.25,-0.1,2.07,1.2,36,545,123
0,autographed,0.12,0.33,-0.24,3.44,3.79,248,333,242
2,character,,0.0,-0.0,0.0,0.0,581,0,0
15,year,,0.0,-0.0,0.0,0.0,581,0,0
