,Aspect,avg_diff,max_diff,min_diff,median_diff,perc_diff_positive,perc_diff_negative,row_count
1,card_number,0.24,0.84,-0.20,0.13,75.31,24.69,81
7,player/athlete,0.18,0.79,-0.08,0.06,62.50,37.50,8
3,insert_set,0.16,0.94,-0.16,0.00,61.76,38.24,102
6,parallel/variety,0.14,0.80,-0.18,0.02,66.67,33.33,15
11,subset,0.07,0.84,-0.10,0.00,67.39,32.61,46
10,set,0.06,0.74,-0.30,0.00,58.82,41.18,34
9,season,0.03,0.16,-0.04,0.01,77.78,22.22,9
12,team,0.03,0.56,-0.27,0.00,42.62,57.38,61
5,manufacturer,0.02,0.25,-0.06,0.00,40.91,59.09,22
0,autographed,0.02,0.19,-0.09,0.00,50.00,50.00,20
8,print_run,0.02,0.86,-0.16,0.00,44.57,55.43,92
2,features,0.02,0.55,-0.41,0.00,43.66,56.34,71
4,league,0.02,0.49,-0.23,0.00,42.03,57.97,69
