,Aspect,avg_diff,max_diff,min_diff,median_diff,perc_diff_positive,perc_diff_negative,row_count
11,style_code,0.71,0.96,0.09,0.75,72.41,0.0,261
3,manufacturer_color,0.27,0.91,-0.1,0.22,68.55,5.65,372
5,nickname,0.2,0.72,-0.04,0.14,70.0,5.79,190
4,model,0.07,0.26,-0.02,0.02,47.37,10.53,19
1,color,0.04,0.04,0.04,0.04,50.0,0.0,2
14,upper_material,0.02,0.23,-0.05,0.0,51.42,21.23,212
6,product_line,0.01,0.13,-0.06,0.0,40.62,26.04,96
7,release_year,0.01,0.44,-0.0,0.0,37.23,32.98,282
8,shoe_shaft_style,0.01,0.27,-0.03,0.0,33.33,32.87,216
0,collaboration,0.0,0.2,-0.0,0.0,34.97,34.97,346
2,customized,-0.0,0.0,-0.0,0.0,34.25,33.86,254
10,style,0.0,0.02,-0.01,0.01,33.33,20.0,15
9,shoe_width,-0.0,0.0,-0.0,0.0,35.05,35.05,214
12,sub_model,0.0,0.19,-0.02,-0.0,30.4,37.6,375
13,theme,-0.0,0.0,-0.0,0.0,29.96,36.12,227
