,UID,VRTN_ID,CANDIDATE_EPID,Aspect,value,score,original_score,logit,ITEM_SENTENCE,score_difference,Item,Candidate product
0,114257000000,,7053396814,manufacturer_color,['Marshmallow/Gum'],0.64,0.26,0.64,[TITLE_TXT] Vans X Taka Hayashi UltraCush S-19 TH 138 Mid LX PRO Men’s 13 New [brand] VANS [style_code] Th-138 Mid LX [color] White [manufacturer_color] Marshmallow/Gum [department] Men [model] VANS X Taka Hayashi [nickname] Taka [performance/activity] Skateboarding [product_line] Vans UltraCush [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [closure] Lace Up [shoe_shaft_style] Mid Top [shoe_width] Standard [upper_material] Cotton [outsole_material] Rubber [customized] No,0.382,https://matchingdashboard.vip.ebay.com/?itemId=114257000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=7053396814
1,115500072768,415532940565,5057006806,style_code,['VN0A5JIB8YY'],0.98,0.51,0.97,"[TITLE_TXT] Vans AVE Black Sulphur Volt Size 8.5, 9, 9.5, 10, 10.5, 11 or 12 11 [brand] VANS [style_code] VN0A5JIB8YY [color] Black [department] Men [model] Vans AVE [nickname] Black Sulphur [product_line] VANS Ave [style] Sneaker [type] Athletic [leaf_categ_id] 15709",0.476,https://matchingdashboard.vip.ebay.com/?itemId=115500072768&var=415532940565,https://matchingdashboard.vip.ebay.com/getProduct?epid=5057006806
2,115500072768,415532940565,5057006806,manufacturer_color,['Black/Sulphur'],0.52,0.51,0.1,"[TITLE_TXT] Vans AVE Black Sulphur Volt Size 8.5, 9, 9.5, 10, 10.5, 11 or 12 11 [brand] VANS [color] Black [manufacturer_color] Black/Sulphur [department] Men [model] Vans AVE [nickname] Black Sulphur [product_line] VANS Ave [style] Sneaker [type] Athletic [leaf_categ_id] 15709",0.01,https://matchingdashboard.vip.ebay.com/?itemId=115500072768&var=415532940565,https://matchingdashboard.vip.ebay.com/getProduct?epid=5057006806
3,115500072768,415532940565,5057006806,release_year,['2022'],0.68,0.51,0.3,"[TITLE_TXT] Vans AVE Black Sulphur Volt Size 8.5, 9, 9.5, 10, 10.5, 11 or 12 11 [brand] VANS [color] Black [department] Men [model] Vans AVE [nickname] Black Sulphur [product_line] VANS Ave [release_year] 2022 [style] Sneaker [type] Athletic [leaf_categ_id] 15709",0.17,https://matchingdashboard.vip.ebay.com/?itemId=115500072768&var=415532940565,https://matchingdashboard.vip.ebay.com/getProduct?epid=5057006806
4,115500072768,415532940565,5057006806,shoe_shaft_style,['Low Top'],0.5,0.51,0.08,"[TITLE_TXT] Vans AVE Black Sulphur Volt Size 8.5, 9, 9.5, 10, 10.5, 11 or 12 11 [brand] VANS [color] Black [department] Men [model] Vans AVE [nickname] Black Sulphur [product_line] VANS Ave [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [shoe_shaft_style] Low Top",0,https://matchingdashboard.vip.ebay.com/?itemId=115500072768&var=415532940565,https://matchingdashboard.vip.ebay.com/getProduct?epid=5057006806
5,115872869933,415974076708,7066863940,style_code,['Ig6431'],0.98,0.14,0.97,"[TITLE_TXT] ADIDAS women's athletic shoes lace up multi sizes black fabric upper NEW 6 1/2 MEDIUM [brand] adidas [style_code] Ig6431 [color] Black [department] Women [model] Athletic [nickname] Multi [performance/activity] Running & Jogging, Walking [product_line] Lite Racer Cln 2.0 [release_year] 2020 [silhouette] adidas Yeezy 350 Cleat Sample Black [style] Sneaker [type] Athletic [year_manufactured] 2020 [leaf_categ_id] 95672 [closure] Lace Up [country/region_of_manufacture] Indonesia [shoe_shaft_style] Low Top [shoe_width] Standard [theme] American [upper_material] Mesh [pattern] Striped [insole_material] Foam [occasion] Activewear, Casual, Workwear [outsole_material] Rubber [customized] No",0.844,https://matchingdashboard.vip.ebay.com/?itemId=115872869933&var=415974076708,https://matchingdashboard.vip.ebay.com/getProduct?epid=7066863940
6,115872869933,415974076708,7066863940,manufacturer_color,['Core Black/Zero Metallic/Spark'],0.25,0.14,0.17,"[TITLE_TXT] ADIDAS women's athletic shoes lace up multi sizes black fabric upper NEW 6 1/2 MEDIUM [brand] adidas [color] Black [manufacturer_color] Core Black/Zero Metallic/Spark [department] Women [model] Athletic [nickname] Multi [performance/activity] Running & Jogging, Walking [product_line] Lite Racer Cln 2.0 [release_year] 2020 [silhouette] adidas Yeezy 350 Cleat Sample Black [style] Sneaker [type] Athletic [year_manufactured] 2020 [leaf_categ_id] 95672 [closure] Lace Up [country/region_of_manufacture] Indonesia [shoe_shaft_style] Low Top [shoe_width] Standard [theme] American [upper_material] Mesh [pattern] Striped [insole_material] Foam [occasion] Activewear, Casual, Workwear [outsole_material] Rubber [customized] No",0.112,https://matchingdashboard.vip.ebay.com/?itemId=115872869933&var=415974076708,https://matchingdashboard.vip.ebay.com/getProduct?epid=7066863940
7,115993000000,,5053395961,style_code,['ALD-990V2'],0.83,0.22,0.69,"[TITLE_TXT] New Balance 990v2 Grey Green Maroon Multi Size 10 US Excellent Condition! [brand] New Balance [style_code] ALD-990V2 [color] Multicolor [department] Men [model] new blance 990 [nickname] Grey Green [performance/activity] Walking, Cross Training [product_line] New Balance 900 Series [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [country/region_of_manufacture] United States [shoe_shaft_style] Low Top [shoe_width] Standard [customized] No",0.612,https://matchingdashboard.vip.ebay.com/?itemId=115993000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=5053395961
8,115993000000,,5053395961,manufacturer_color,['Multicolor'],0.25,0.22,0.05,"[TITLE_TXT] New Balance 990v2 Grey Green Maroon Multi Size 10 US Excellent Condition! [brand] New Balance [color] Multicolor [manufacturer_color] Multicolor [department] Men [model] new blance 990 [nickname] Grey Green [performance/activity] Walking, Cross Training [product_line] New Balance 900 Series [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [country/region_of_manufacture] United States [shoe_shaft_style] Low Top [shoe_width] Standard [customized] No",0.031,https://matchingdashboard.vip.ebay.com/?itemId=115993000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=5053395961
9,115993000000,,5053395961,release_year,['2019'],0.29,0.22,0.07,"[TITLE_TXT] New Balance 990v2 Grey Green Maroon Multi Size 10 US Excellent Condition! [brand] New Balance [color] Multicolor [department] Men [model] new blance 990 [nickname] Grey Green [performance/activity] Walking, Cross Training [product_line] New Balance 900 Series [release_year] 2019 [style] Sneaker [type] Athletic [leaf_categ_id] 15709 [country/region_of_manufacture] United States [shoe_shaft_style] Low Top [shoe_width] Standard [customized] No",0.075,https://matchingdashboard.vip.ebay.com/?itemId=115993000000&var=,https://matchingdashboard.vip.ebay.com/getProduct?epid=5053395961
