,key,avg_diff,max_diff,min_diff,median_diff,perc_diff_positive,perc_diff_negative,row_count
9,style_code,0.68,0.92,0.17,0.69,100.00,0.00,261
4,nickname,0.25,0.72,-0.04,0.22,93.79,6.21,145
2,manufacturer_color,0.24,0.88,-0.10,0.19,85.87,14.13,361
1,color,0.22,0.22,0.22,0.22,100.00,0.00,2
6,release_year,0.13,0.27,-0.01,0.11,95.45,4.55,22
0,collaboration,0.08,0.25,-0.09,0.10,66.67,33.33,6
3,model,0.06,0.29,-0.12,0.05,68.42,31.58,19
10,sub_model,0.03,0.19,-0.03,0.03,57.14,42.86,7
7,shoe_shaft_style,0.03,0.27,-0.04,0.02,66.07,33.93,56
11,upper_material,0.03,0.18,-0.05,0.02,74.77,25.23,107
5,product_line,0.02,0.21,-0.06,0.01,56.14,43.86,57
8,style,0.00,0.05,-0.04,0.00,53.33,46.67,15
